bulan,provinsi,komoditas,rata_rata_harga
2025-01,Sumatera Selatan,Cabai Rawit,75840.74074074074
2025-01,Sumatera Selatan,Daging Ayam,34998.148148148146
2025-01,Sumatera Selatan,Daging Sapi,139220.37037037036
2025-01,Sumatera Selatan,Gula Pasir,18225.925925925927
2025-01,Sumatera Selatan,Minyak Goreng,20251.85185185185
2025-01,Sumatera Selatan,Telur Ayam,27911.11111111111
2025-01,Sumatera Utara,Bawang Merah,45444.444444444445
2025-01,Sumatera Utara,Bawang Putih,44062.96296296296
2025-01,Sumatera Utara,Beras,13764.814814814816
2025-01,Sumatera Utara,Cabai Merah,54142.59259259259
2025-01,Sumatera Utara,Cabai Rawit,59803.7037037037
2025-01,Sumatera Utara,Daging Ayam,38809.25925925926
2025-01,Sumatera Utara,Daging Sapi,138038.88888888888
2025-01,Sumatera Utara,Gula Pasir,19066.666666666668
2025-01,Sumatera Utara,Minyak Goreng,20605.555555555555
2025-01,Sumatera Utara,Telur Ayam,33050.0
2025-02,Aceh,Bawang Merah,36450.0
2025-02,Aceh,Bawang Putih,43475.0
2025-02,Aceh,Beras,13744.642857142857
2025-02,Aceh,Cabai Merah,50075.0
2025-02,Aceh,Cabai Rawit,60228.57142857143
2025-02,Aceh,Daging Ayam,31591.071428571428
2025-02,Aceh,Daging Sapi,148439.2857142857
2025-02,Aceh,Gula Pasir,19132.14285714286
2025-02,Aceh,Minyak Goreng,20912.5
2025-02,Aceh,Telur Ayam,28625.0
2025-02,Bali,Bawang Merah,28637.5
2025-02,Bali,Bawang Putih,39251.78571428572
2025-02,Bali,Beras,15187.5
2025-02,Bali,Cabai Merah,55723.21428571428
2025-02,Bali,Cabai Rawit,64410.71428571428
2025-02,Bali,Daging Ayam,41171.42857142857
2025-02,Bali,Daging Sapi,132837.5
2025-02,Bali,Gula Pasir,18753.571428571428
2025-02,Bali,Minyak Goreng,20721.428571428572
2025-02,Bali,Telur Ayam,28428.571428571428
2025-02,Banten,Bawang Merah,33980.357142857145
2025-02,Banten,Bawang Putih,44421.42857142857
2025-02,Banten,Beras,14957.142857142857
2025-02,Banten,Cabai Merah,54657.142857142855
2025-02,Banten,Cabai Rawit,74087.5
2025-02,Banten,Daging Ayam,37410.71428571428
2025-02,Banten,Daging Sapi,130416.07142857143
2025-02,Banten,Gula Pasir,18626.785714285714
2025-02,Banten,Minyak Goreng,18882.14285714286
2025-02,Banten,Telur Ayam,28532.14285714286
2025-02,Bengkulu,Bawang Merah,39764.81481481482
2025-02,Bengkulu,Bawang Putih,43109.25925925926
2025-02,Bengkulu,Beras,15183.333333333334
2025-02,Bengkulu,Cabai Merah,51242.59259259259
2025-02,Bengkulu,Cabai Rawit,62118.51851851852
2025-02,Bengkulu,Daging Ayam,32701.85185185185
2025-02,Bengkulu,Daging Sapi,135192.59259259258
2025-02,Bengkulu,Gula Pasir,18829.62962962963
2025-02,Bengkulu,Minyak Goreng,20050.0
2025-02,Bengkulu,Telur Ayam,28605.555555555555
2025-02,DI Yogyakarta,Bawang Merah,35276.78571428572
2025-02,DI Yogyakarta,Bawang Putih,44446.42857142857
2025-02,DI Yogyakarta,Beras,14150.0
2025-02,DI Yogyakarta,Cabai Merah,55862.5
2025-02,DI Yogyakarta,Cabai Rawit,68355.35714285714
2025-02,DI Yogyakarta,Daging Ayam,34178.57142857143
2025-02,DI Yogyakarta,Daging Sapi,135708.92857142858
2025-02,DI Yogyakarta,Gula Pasir,18250.0
2025-02,DI Yogyakarta,Minyak Goreng,20383.928571428572
2025-02,DI Yogyakarta,Telur Ayam,27417.85714285714
2025-02,DKI Jakarta,Bawang Merah,37042.59259259259
2025-02,DKI Jakarta,Bawang Putih,50407.40740740741
2025-02,DKI Jakarta,Beras,15703.703703703704
2025-02,DKI Jakarta,Cabai Merah,59220.37037037037
2025-02,DKI Jakarta,Cabai Rawit,79537.03703703704
2025-02,DKI Jakarta,Daging Ayam,36081.48148148148
2025-02,DKI Jakarta,Daging Sapi,135707.40740740742
2025-02,DKI Jakarta,Gula Pasir,19646.296296296296
2025-02,DKI Jakarta,Minyak Goreng,20735.185185185186
2025-02,DKI Jakarta,Telur Ayam,28388.88888888889
2025-02,Gorontalo,Bawang Merah,39664.28571428572
2025-02,Gorontalo,Bawang Putih,48798.21428571428
2025-02,Gorontalo,Beras,14694.642857142857
2025-02,Gorontalo,Cabai Merah,45126.78571428572
2025-02,Gorontalo,Cabai Rawit,65385.71428571428
2025-02,Gorontalo,Daging Ayam,27564.285714285714
2025-02,Gorontalo,Daging Sapi,132500.0
2025-02,Gorontalo,Gula Pasir,20012.5
2025-02,Gorontalo,Minyak Goreng,25110.714285714286
2025-02,Gorontalo,Telur Ayam,32473.214285714286
2025-02,Jambi,Bawang Merah,32230.35714285714
2025-02,Jambi,Bawang Putih,42698.21428571428
2025-02,Jambi,Beras,15050.0
2025-02,Jambi,Cabai Merah,45462.5
2025-02,Jambi,Cabai Rawit,75192.85714285714
2025-02,Jambi,Daging Ayam,31808.928571428572
2025-02,Jambi,Daging Sapi,137725.0
2025-02,Jambi,Gula Pasir,18641.071428571428
2025-02,Jambi,Minyak Goreng,20378.571428571428
2025-02,Jambi,Telur Ayam,25362.5
2025-02,Jawa Barat,Bawang Merah,34816.07142857143
2025-02,Jawa Barat,Bawang Putih,44151.78571428572
2025-02,Jawa Barat,Beras,14558.92857142857
2025-02,Jawa Barat,Cabai Merah,57021.42857142857
2025-02,Jawa Barat,Cabai Rawit,72844.64285714286
2025-02,Jawa Barat,Daging Ayam,35614.28571428572
2025-02,Jawa Barat,Daging Sapi,139503.57142857142
2025-02,Jawa Barat,Gula Pasir,18732.14285714286
2025-02,Jawa Barat,Minyak Goreng,20896.428571428572
2025-02,Jawa Barat,Telur Ayam,28433.928571428572
2025-02,Jawa Tengah,Bawang Merah,32932.142857142855
2025-02,Jawa Tengah,Bawang Putih,43375.0
2025-02,Jawa Tengah,Beras,14542.857142857143
2025-02,Jawa Tengah,Cabai Merah,48269.642857142855
2025-02,Jawa Tengah,Cabai Rawit,55780.357142857145
2025-02,Jawa Tengah,Daging Ayam,34500.0
2025-02,Jawa Tengah,Daging Sapi,128103.57142857143
2025-02,Jawa Tengah,Gula Pasir,18675.0
2025-02,Jawa Tengah,Minyak Goreng,20137.5
2025-02,Jawa Tengah,Telur Ayam,27269.64285714286
2025-02,Jawa Timur,Bawang Merah,31464.285714285714
2025-02,Jawa Timur,Bawang Putih,38880.357142857145
2025-02,Jawa Timur,Beras,14169.642857142857
2025-02,Jawa Timur,Cabai Merah,47285.71428571428
2025-02,Jawa Timur,Cabai Rawit,52371.42857142857
2025-02,Jawa Timur,Daging Ayam,34023.21428571428
2025-02,Jawa Timur,Daging Sapi,120657.14285714286
2025-02,Jawa Timur,Gula Pasir,18017.85714285714
2025-02,Jawa Timur,Minyak Goreng,20005.35714285714
2025-02,Jawa Timur,Telur Ayam,27275.0
2025-02,Kalimantan Barat,Bawang Merah,34866.666666666664
2025-02,Kalimantan Barat,Bawang Putih,41850.0
2025-02,Kalimantan Barat,Beras,16561.11111111111
2025-02,Kalimantan Barat,Cabai Merah,67985.18518518518
2025-02,Kalimantan Barat,Cabai Rawit,86181.48148148147
2025-02,Kalimantan Barat,Daging Ayam,34161.11111111111
2025-02,Kalimantan Barat,Daging Sapi,151307.40740740742
2025-02,Kalimantan Barat,Gula Pasir,18557.40740740741
2025-02,Kalimantan Barat,Minyak Goreng,20309.25925925926
2025-02,Kalimantan Barat,Telur Ayam,31635.185185185186
2025-02,Kalimantan Selatan,Bawang Merah,31485.416666666668
2025-02,Kalimantan Selatan,Bawang Putih,41127.083333333336
2025-02,Kalimantan Selatan,Beras,17039.583333333332
2025-02,Kalimantan Selatan,Cabai Merah,56093.75
2025-02,Kalimantan Selatan,Cabai Rawit,56927.083333333336
2025-02,Kalimantan Selatan,Daging Ayam,42960.416666666664
2025-02,Kalimantan Selatan,Daging Sapi,162487.5
2025-02,Kalimantan Selatan,Gula Pasir,18654.166666666668
2025-02,Kalimantan Selatan,Minyak Goreng,19833.333333333332
2025-02,Kalimantan Selatan,Telur Ayam,30072.916666666668
2025-02,Kalimantan Tengah,Bawang Merah,34876.78571428572
2025-02,Kalimantan Tengah,Bawang Putih,43760.71428571428
2025-02,Kalimantan Tengah,Beras,17450.0
2025-02,Kalimantan Tengah,Cabai Merah,87385.71428571429
2025-02,Kalimantan Tengah,Cabai Rawit,74228.57142857143
2025-02,Kalimantan Tengah,Daging Ayam,37958.92857142857
2025-02,Kalimantan Tengah,Daging Sapi,155350.0
2025-02,Kalimantan Tengah,Gula Pasir,20391.071428571428
2025-02,Kalimantan Tengah,Minyak Goreng,20787.5
2025-02,Kalimantan Tengah,Telur Ayam,31114.285714285714
2025-02,Kalimantan Timur,Bawang Merah,39635.71428571428
2025-02,Kalimantan Timur,Bawang Putih,45507.142857142855
